origin_country_iso_code,destination_country_iso_code,scaling_factor
ARE,SEN,0.2
ARE,SGP,1
ARE,ZAF,0.08928571428571429
ARE,KOR,0.30952380952380953
ARE,ESP,0.26153846153846155
ARE,CHE,0.28205128205128205
ARE,THA,0.13846153846153847
ARE,GBR,0.21908127208480566
ARE,USA,0.33877551020408164
GBR,DZA,0.025
GBR,ARG,0.38095238095238093
GBR,BRB,0.06451612903225806
GBR,BEL,0.14754098360655737
GBR,BRA,0.3055555555555556
GBR,CAN,0.22736030828516376
GBR,CYP,0.028169014084507043
GBR,DNK,0.002607561929595828
GBR,FIN,0.4492753623188406
GBR,FRA,0.03673938002296211
GBR,DEU,0.06095288794250732
GBR,GIB,0.25
GBR,GRC,0.002484472049689441
GBR,HKG,0.822429906542056
GBR,ISL,0.07738095238095238
GBR,IND,0.07432432432432433
GBR,IRL,0.04317269076305221
GBR,ISR,0.6181818181818182
GBR,ITA,0.045228628230616304
GBR,JPN,0.11594202898550725
GBR,LTU,1
GBR,MYS,0.05434782608695652
GBR,NLD,0.07042253521126761
GBR,NOR,0.002352941176470588
GBR,PRT,0.024154589371980676
GBR,QAT,0.12359550561797752
GBR,RUS,0.15492957746478872
GBR,SAU,0.3617021276595745
GBR,SGP,0.2753623188405797
GBR,ZAF,0.061224489795918366
GBR,KOR,0.4084507042253521
GBR,ESP,0.011117612638970159
GBR,SWE,0.031446540880503145
GBR,CHE,0.028368794326241134
GBR,TUR,0.01935483870967742
GBR,ARE,0.18862275449101795
GBR,USA,0.24332544778641432
USA,ARG,0.38613861386138615
USA,AUS,0.2898876404494382
USA,BHR,1
USA,BRB,0.17204301075268819
USA,BEL,1
USA,BMU,0.07874015748031496
USA,BOL,0.06666666666666667
USA,BRA,0.32186732186732187
USA,CAN,0.117170626349892
USA,CHN,1
USA,FIN,0.11475409836065574
USA,FRA,0.16926770708283315
USA,PYF,0.018867924528301886
USA,DEU,0.39441747572815533
USA,HKG,1
USA,ISL,0.18992248062015504
USA,IND,0.1958041958041958
USA,IRL,0.21581196581196582
USA,ISR,1
USA,ITA,0.04838709677419355
USA,JPN,0.7434944237918215
USA,KEN,1
USA,LUX,0.27906976744186046
USA,MEX,0.0010610079575596816
USA,NLD,0.40683572216097025
USA,NZL,0.6190476190476191
USA,NOR,0.07142857142857142
USA,PHL,0.2196969696969697
USA,POL,0.14728682170542637
USA,PRT,0.029914529914529916
USA,QAT,0.1392857142857143
USA,RUS,0.3404255319148936
USA,SAU,1
USA,SGP,0.5789473684210527
USA,ZAF,0.02127659574468085
USA,KOR,1
USA,ESP,0.05
USA,CHE,0.10690423162583519
USA,TWN,1
USA,TUR,1
USA,ARE,0.5614973262032086
USA,GBR,0.268705035971223
UZB,DEU,0.16666666666666666
